ra,dec,koi_gmag,koi_disposition,koi_count,koi_num_transits,koi_max_mult_ev,koi_bin_oedp_sig,koi_ldm_coeff1,koi_model_snr,koi_prad,koi_impact,koi_duration,koi_depth,koi_dor,koi_incl,koi_teq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_tce_plnt_num,koi_time0,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_srho
293.97336,50.53191,16.618,1,2,67.0,28.490973,0.8388,0.4639,37.1,1.93,0.031,2.7594,1219.8,55.02,89.97,393.0,4077.0,4.702,-0.24,0.56,0.576,0.0,0.78,0.05,-0.00076,0.00145,0.2,-0.17,0.26,1.0,2455019.771,0,0,0,0,5.66,8.48241
293.97336,50.53191,16.618,1,2,126.0,21.658537,0.0088,0.4639,30.3,1.91,0.628,1.369,1053.3,45.9,89.22,488.0,4077.0,4.702,-0.24,0.56,0.576,0.0,-0.42,0.02,0.00053,0.00116,0.11,-0.23,0.25,2.0,2454969.289,0,0,0,0,13.43,18.09666
296.02133,50.56778,16.079,1,1,107.0,31.608551,0.8571,0.398,35.8,2.66,0.883,3.8896,916.6,13.07,86.13,677.0,5557.0,4.603,-0.4,0.75,0.832,0.758,0.13,0.39,0.00019,0.00011,-0.17,-0.04,0.17,1.0,2455011.747,0,0,0,0,49.68,0.27483
300.86398,44.337551,13.293,1,4,29.0,65.59482,0.9647,0.3928,83.7,2.87,0.852,6.802,615.2,28.2,88.27,531.0,5854.0,4.406,-0.12,1.012,0.951,0.012,0.19,0.01,0.0002,0.00012,0.12,-0.2,0.23,2.0,2454984.935,0,0,0,0,18.77,0.22039
292.31595,38.27029,16.325,-1,1,780.0,32.72262,0.0,0.5086,39.0,21.55,1.213,3.813,725.3,2.19,56.44,1032.0,5295.0,4.551,-0.02,0.811,0.853,0.0,-8.51,0.75,0.00348,-0.00058,-5.106,0.825,5.172,1.0,2455004.639,0,1,1,0,268.67,0.01791
294.36819,38.31028,15.857,-1,1,664.0,45.885685,0.8796,0.3858,103.6,32.43,1.26,2.1145,1620.6,2.38,58.03,1547.0,5735.0,4.41,-0.18,0.973,0.889,0.0,0.09,-1.31,-2e-05,0.0008,0.1,-0.809,0.82,1.0,2455002.82,0,0,1,0,1355.88,0.09631
291.65353,38.494659,16.007,1,2,494.0,48.726124,0.228,0.3288,64.5,3.12,0.023,3.0099,837.5,7.088,89.81,1420.0,6214.0,4.442,0.07,1.076,1.169,0.0,0.42,0.32,-0.00037,-0.0003,-0.02,0.05,0.05,1.0,2455003.034,0,0,0,0,960.79,0.91618
291.65353,38.494659,16.007,1,2,165.0,40.04205,0.3431,0.3288,51.5,3.32,0.012,4.0491,950.4,14.003,89.95,1025.0,6214.0,4.442,0.07,1.076,1.169,0.0,0.07,0.81,-0.00011,-0.00083,0.05,0.07,0.09,2.0,2455005.818,0,0,0,0,260.58,0.99867
296.36652,51.319519,15.945,1,2,159.0,39.867977,0.9241,0.4966,47.6,2.59,0.022,2.7245,1123.5,24.47,89.95,751.0,5354.0,4.587,-0.08,0.788,0.884,0.046,1.18,0.22,-0.00048,0.00037,-0.148,0.09,0.17,1.0,2455007.162,0,0,0,0,75.44,3.86328
296.36652,51.319519,15.945,1,2,22.0,15.139797,0.6244,0.4966,20.1,2.36,0.094,5.039,931.3,93.71,89.94,390.0,5354.0,4.587,-0.08,0.788,0.884,0.424,-0.06,0.26,0.0007,0.00025,0.0,0.53,0.53,2.0,2455014.164,0,0,0,0,5.49,4.26444
